tree_name,Family,Order,Standard_length,Max_body_depth,Max_fish_width,Head_depth,Lower_jaw_length,Mouth_width,Min_caudalpeduncle_depth,Min_caudalpeduncle_width
Hemiramphus_balao,Hemiramphidae,Beloniformes,165.79,25.16,15.95,16.37,50.36,5.95,9.92,3.13
Hemiramphus_brasiliensis,Hemiramphidae,Beloniformes,173.64,29.47,16.1,18.03,61.03,7.83,10.33,4.57
Hemiramphus_far,Hemiramphidae,Beloniformes,177.88,30.16,18.24,18.15,69.82,6.42,12.19,3.15
Hyporhamphus_unifasciatus,Hemiramphidae,Beloniformes,152.77,20.34,13.34,14.77,51.07,6.86,7.6,2.32
Strongylura_marina,Belonidae,Beloniformes,232.52,12.45,10.61,10.51,63.87,4.81,4.45,2.75
Strongylura_timucu,Belonidae,Beloniformes,211.72,12.07,10.61,10.03,59.28,6.35,3.73,2.21
Platybelone_argalus_argalus,Belonidae,Beloniformes,293.26,13.04,12.96,11.72,83.98,4.91,3.33,4.2
Strongylura_notata_notata,Belonidae,Beloniformes,208.51,12.94,13.05,11.43,69.14,5.58,5.01,1.89
Tylosurus_acus_acus,Belonidae,Beloniformes,221.9,10.74,8.89,9.72,59.38,5.23,3.31,2.09
Tylosurus_acus_melanotus,Belonidae,Beloniformes,482.11,32.92,25.63,21.78,119.98,9.09,9.24,7.3
Tylosurus_punctulatus,Belonidae,Beloniformes,227.31,15.3,13.04,14.34,63.63,8.04,5.53,2.59
Tylosurus_gavialoides,Belonidae,Beloniformes,343.06,21.2,19.29,21.11,84.02,12.06,7.45,3.95
Ablennes_hians,Belonidae,Beloniformes,255.27,13.96,8.12,11.66,66.83,2.6,3.78,2.37
Strongylura_incisa,Belonidae,Beloniformes,292.17,17.59,15.55,14.48,95.19,6.19,5.65,5.46
Strongylura_leiura,Belonidae,Beloniformes,311.69,16.98,11.92,12.58,73.56,3.93,6.76,3.75
Atherinomorus_endrachtensis,Atherinidae,Atheriniformes,88.97,17.65,15.6,14.25,11.5,6.57,7.03,2.5
Hypoatherina_temminckii,Atherinidae,Atheriniformes,82.3,12.6,11,9.73,7.93,4,4.83,2.43
Atherinomorus_lacunosus,Atherinidae,Atheriniformes,100.5,21.41,15.61,15.46,14.05,5.94,7.49,2.22
Hypoatherina_harringtonensis,Atherinidae,Atheriniformes,52.26,9.73,6.88,6.51,5.48,2.31,3.67,0.86
Atherinomorus_stipes,Atherinidae,Atheriniformes,57.85,11.74,9.67,9.34,6.91,3.85,4.3,1.27
Pholidichthys_leucotaenia,Pholidichthyidae,Perciformes,339.41,20.27,21.75,16.27,18.08,10.87,5.64,1.92
Acanthemblemaria_aspera,Chaenopsidae,Perciformes,19.47,2.79,2.28,2.28,1.44,1.48,1.13,0.37
Acanthemblemaria_paula,Chaenopsidae,Perciformes,14.85,1.58,1.4,1.3,0.7,1.27,0.5,0.22
Acanthemblemaria_spinosa,Chaenopsidae,Perciformes,21.34,3.48,2.98,3.38,1.93,1.6,1.55,0.31
Acanthemblemaria_exilispinus,Chaenopsidae,Perciformes,52.28,7.98,6.87,6.82,7.02,4.76,4.08,0.91
Malacoctenus_triangulatus,Labrisomidae,Perciformes,49.69,14.18,8.79,8.44,5.51,4.19,4.19,1.07
Labrisomus_multiporosus,Labrisomidae,Perciformes,125.37,32.28,22.18,20.49,18.86,12.75,10.4,2.4
Labrisomus_nuchipinnis,Labrisomidae,Perciformes,142.28,42.1,33.27,28.4,26.12,24.23,12.52,2.93
Parablennius_marmoreus,Blenniidae,Perciformes,43.73,9.7,7.41,8.41,3.71,3.09,3.83,0.8
Hypsoblennius_hentz,Blenniidae,Perciformes,77.77,22.62,17.42,11.57,10.13,12.57,7.18,1.53
Scartella_cristata,Blenniidae,Perciformes,88.06,24.83,19.19,16.75,9.15,12.85,8.42,2.07
Meiacanthus_grammistes,Blenniidae,Perciformes,64.8,14.27,7.77,8.9,4.8,3.9,5.8,0.97
Meiacanthus_smithi,Blenniidae,Perciformes,50.64,12.07,6.58,7.71,4.28,3.93,5.93,1.28
Ecsenius_bicolor,Blenniidae,Perciformes,64.52,13.21,8.6,8.44,3.05,4.77,7.09,1.48
Salarias_fasciatus,Blenniidae,Perciformes,78.56,21.18,12.32,12.94,8.69,9.93,8.74,1.6
Ophioblennius_steindachneri,Blenniidae,Perciformes,85.87,23.35,13.22,16.63,8.12,9.74,7.39,1.68
Ophioblennius_atlanticus,Blenniidae,Perciformes,84.77,24.46,12.74,15.23,5.48,6.9,6.84,1.62
Ecsenius_midas,Blenniidae,Perciformes,58.3,9.88,6.57,7.77,3.67,4.07,4.8,0.93
Discotrema_monogrammum,Gobiesocidae,Gobiesociformes,22.15,4.69,4.16,2.85,1.62,2.57,1.92,0.61
Discotrema_crinophilum,Gobiesocidae,Gobiesociformes,20.9,4.39,4.13,3.07,2.53,2.91,2.06,0.41
Opistognathus_aurifrons,Opistognathidae,Perciformes,42.94,9.23,7.23,5.85,5.24,4.45,5.6,0.92
Gramma_loreto,Grammatidae,Perciformes,43.57,14.16,7.6,8.68,7.76,4.71,7.56,1.33
Pseudochromis_bitaeniatus,Pseudochromidae,Perciformes,51.07,13.22,5.95,7.82,7.65,3.13,6.58,1
Pomacentrus_nagasakiensis,Pomacentridae,Perciformes,66.55,32.65,13.75,19.25,6.35,4.95,9.85,1.8
Pomacentrus_chrysurus,Pomacentridae,Perciformes,54.56,27.31,11.48,13.49,5.18,4.89,7.72,1.68
Pomacentrus_reidi,Pomacentridae,Perciformes,84.59,42.27,15.9,23.52,7.23,6.76,12.75,1.98
Pomacentrus_vaiuli,Pomacentridae,Perciformes,64,33.9,12.77,18.93,6.03,3.57,9.5,1.5
Pomacentrus_bankanensis,Pomacentridae,Perciformes,70.2,34.97,16.13,18.57,5.97,4.83,10.3,1.8
Pomacentrus_philippinus,Pomacentridae,Perciformes,77.15,40.65,16.55,20.5,6.61,5.45,12.42,1.96
Pomacentrus_nigromanus,Pomacentridae,Perciformes,68.98,33.89,13.13,16.05,6.25,4.62,10.61,1.76
Pomacentrus_alexanderae,Pomacentridae,Perciformes,62.8,30.07,12.6,16.53,6.3,4.27,9.57,2.3
Pomacentrus_brachialis,Pomacentridae,Perciformes,81.63,39.93,15.13,22.77,7.43,5.83,12.03,2.43
Pomacentrus_smithi,Pomacentridae,Perciformes,51.1,23.6,9.13,12.63,4.97,3.5,7.3,2.17
Pomacentrus_lepidogenys,Pomacentridae,Perciformes,68.27,36.1,14.1,18.87,6.67,4.13,11.03,1.73
