tree_name,valid_name,Family,Order,Feeding_mode,Reference,Full_citation
Acanthurus_achilles,Acanthurus_achilles,Acanthuridae,Perciformes,biting,Hiatt & Strasburg 1960,"Hiatt, R. W., & Strasburg, D. W. (1960). Ecological relationships of the fish fauna on coral reefs of the Marshall Islands. Ecological Monographs, 30(1), 65-127."
Acanthurus_bahianus,Acanthurus_bahianus,Acanthuridae,Perciformes,biting,Randall 1967,"Randall, J.E., 1967. Food habits of reef fishes of the West Indies (Vol. 5, pp. 665-847). Coral Gables: Institute of Marine Sciences, University of Miami."
Acanthurus_blochii,Acanthurus_blochii,Acanthuridae,Perciformes,biting,Friedman et al 2016,"Friedman, S.T., Price, S.A., Hoey, A.S. and Wainwright, P.C., 2016. Ecomorphological convergence in planktivorous surgeonfishes. Journal of evolutionary biology, 29(5), pp.965-978."
Acanthurus_chirurgus,Acanthurus_chirurgus,Acanthuridae,Perciformes,biting,Randall 1967,"Randall, J.E., 1967. Food habits of reef fishes of the West Indies (Vol. 5, pp. 665-847). Coral Gables: Institute of Marine Sciences, University of Miami."
Acanthurus_coeruleus,Acanthurus_coeruleus,Acanthuridae,Perciformes,biting,Randall 1967,"Randall, J.E., 1967. Food habits of reef fishes of the West Indies (Vol. 5, pp. 665-847). Coral Gables: Institute of Marine Sciences, University of Miami."
Acanthurus_dussumieri,Acanthurus_dussumieri,Acanthuridae,Perciformes,biting,Jones 1968,"Jones, R.S., 1968. Ecological relationships in Hawaiian and Johnston Island Acanthuridae (surgeonfishes). Micronesica, 4(2), pp.309-61."
Acanthurus_guttatus,Acanthurus_guttatus,Acanthuridae,Perciformes,biting,Hiatt & Strasburg 1960,"Hiatt, R. W., & Strasburg, D. W. (1960). Ecological relationships of the fish fauna on coral reefs of the Marshall Islands. Ecological Monographs, 30(1), 65-127."
Acanthurus_japonicus,Acanthurus_japonicus,Acanthuridae,Perciformes,biting,Balisco & Dolorosa 2019,"Balisco, R.A. and Dolorosa, R.G., 2019. The reef-associated fishes of West Sulu Sea, Palawan, Philippines: a checklist and trophic structure. Aquaculture, Aquarium, Conservation & Legislation, 12(4), pp.1260-1299."
Acanthurus_lineatus,Acanthurus_lineatus,Acanthuridae,Perciformes,biting,Hiatt & Strasburg 1960,"Hiatt, R. W., & Strasburg, D. W. (1960). Ecological relationships of the fish fauna on coral reefs of the Marshall Islands. Ecological Monographs, 30(1), 65-127."
Acanthurus_mata,Acanthurus_mata,Acanthuridae,Perciformes,suction,Randall 1995,"Randall, J.E., 1995. Coastal fishes of Oman. University of Hawaii Press."
Acanthurus_nigricans,Acanthurus_nigricans,Acanthuridae,Perciformes,biting,Hiatt & Strasburg 1960,"Hiatt, R. W., & Strasburg, D. W. (1960). Ecological relationships of the fish fauna on coral reefs of the Marshall Islands. Ecological Monographs, 30(1), 65-127."
Acanthurus_nigricauda,Acanthurus_nigricauda,Acanthuridae,Perciformes,biting,"Choat, Clements, Robbins 2002","Choat, J., Clements, K. and Robbins, W., 2002. The trophic status of herbivorous fishes on coral reefs. Marine Biology, 140(3), pp.613-623."
Acanthurus_nigrofuscus,Acanthurus_nigrofuscus,Acanthuridae,Perciformes,biting,Fishelson 1977,"Fishelson, L., 1977. Sociobiology of feeding behavior of coral fish along the coral reef of the Gulf of Elat (= Gulf of'Aqaba), Red Sea. Israel Journal of Ecology and Evolution, 26(1-2), pp.114-134."
